player_id,player_name,team_name,position,age,nationality,appearances,minutes,goals,assists,shots,shots_on_target,passes,pass_accuracy,tackles,interceptions,duels,duels_won,yellow_cards,red_cards,rating,dribble_attempts,successful_dribbles,dribbled_past,fouls_drawn,crosses,accurate_crosses,long_balls,accurate_long_balls,key_passes,aerials_won,clearances,saves,saves_inside_box,goals_conceded,clean_sheets,penalties_saved
1486200,Arbër Hoxha,Dinamo Zagreb,Attacker,27,Kosovo,31.0,1254.0,3.0,3.0,32.0,15.0,391.0,87.47,12.0,10.0,159.0,69.0,1.0,0.0,6.94,51.0,25.0,8.0,21.0,39.0,7.0,15.0,11.0,16.0,12.0,3.0,0.0,0.0,19.0,10.0,0.0
62765,Samy Mmaee,Dinamo Zagreb,Defender,29,Morocco,15.0,1240.0,1.0,0.0,4.0,1.0,1062.0,88.98,11.0,17.0,59.0,31.0,3.0,0.0,7.03,2.0,1.0,2.0,2.0,1.0,0.0,124.0,66.0,2.0,17.0,49.0,0.0,0.0,20.0,4.0,0.0
160244,Komnen Andric,Rijeka,Attacker,31,Serbia,15.0,1234.0,2.0,2.0,25.0,5.0,325.0,72.31,17.0,6.0,204.0,105.0,1.0,0.0,7.15,12.0,7.0,5.0,34.0,7.0,3.0,18.0,13.0,13.0,47.0,14.0,0.0,0.0,20.0,3.0,0.0
52889,Josip Radosevic,Istra 1961,Midfielder,32,Croatia,15.0,1230.0,0.0,3.0,2.0,1.0,594.0,84.01,30.0,15.0,92.0,52.0,2.0,0.0,7.1,11.0,6.0,8.0,9.0,25.0,9.0,64.0,33.0,12.0,7.0,20.0,0.0,0.0,8.0,9.0,0.0
9938999,Agon Elezi,Gorica,Midfielder,25,Macedonia,16.0,1226.0,2.0,0.0,14.0,5.0,383.0,75.72,22.0,13.0,127.0,58.0,2.0,0.0,6.87,9.0,6.0,10.0,18.0,6.0,1.0,42.0,19.0,3.0,14.0,24.0,0.0,0.0,16.0,6.0,0.0
37550997,Moreno Zivkovic,Lokomotiva Zagreb,Defender,22,Croatia,14.0,1212.0,0.0,0.0,3.0,0.0,609.0,85.22,20.0,14.0,98.0,63.0,2.0,0.0,7.03,4.0,4.0,3.0,11.0,3.0,0.0,75.0,34.0,5.0,30.0,43.0,0.0,0.0,16.0,4.0,0.0
28932717,Renan Guedes,Osijek,Defender,28,Brazil,16.0,1201.0,0.0,0.0,4.0,0.0,397.0,70.53,19.0,10.0,110.0,61.0,1.0,0.0,6.8,20.0,8.0,5.0,19.0,41.0,11.0,60.0,17.0,6.0,15.0,36.0,0.0,0.0,20.0,3.0,0.0
109643,Hernâni,Osijek,Attacker,34,Portugal,23.0,1191.0,6.0,3.0,42.0,19.0,201.0,67.66,7.0,3.0,90.0,40.0,0.0,0.0,7.11,20.0,9.0,3.0,21.0,84.0,23.0,25.0,6.0,20.0,5.0,5.0,0.0,0.0,16.0,5.0,0.0
73257,Slavko Blagojević,Istra 1961,Midfielder,39,Croatia,16.0,1173.0,0.0,0.0,8.0,1.0,533.0,74.86,26.0,19.0,145.0,73.0,6.0,0.0,6.81,3.0,2.0,11.0,30.0,7.0,3.0,96.0,49.0,8.0,15.0,20.0,0.0,0.0,18.0,5.0,0.0
24837955,Styopa Mkrtchyan,Osijek,Defender,23,Armenia,17.0,1150.0,0.0,0.0,3.0,0.0,554.0,84.48,18.0,8.0,94.0,48.0,1.0,0.0,6.86,3.0,2.0,10.0,8.0,0.0,0.0,80.0,27.0,3.0,21.0,87.0,0.0,0.0,16.0,4.0,0.0
