player_id,player_name,team_name,position,age,nationality,appearances,minutes,goals,assists,shots,shots_on_target,passes,pass_accuracy,tackles,interceptions,duels,duels_won,yellow_cards,red_cards,rating,dribble_attempts,successful_dribbles,dribbled_past,fouls_drawn,crosses,accurate_crosses,long_balls,accurate_long_balls,key_passes,aerials_won,clearances,saves,saves_inside_box,goals_conceded,clean_sheets,penalties_saved,goals_per90,assists_per90,shots_per90,shots_on_target_per90,passes_per90,tackles_per90,interceptions_per90,cards_per90,dribble_attempts_per90,successful_dribbles_per90,dribbled_past_per90,fouls_drawn_per90,crosses_per90,accurate_crosses_per90,long_balls_per90,accurate_long_balls_per90,key_passes_per90,aerials_won_per90,clearances_per90,saves_per90,goals_conceded_per90,clean_sheet_rate,shot_accuracy,goal_conversion,pass_accuracy_ratio,duel_success_rate,minutes_per_appearance,goal_contribution_per90,dribble_success_rate,cross_accuracy,long_ball_accuracy,attacking_score,creative_score,defensive_score,discipline_score,dribbling_score,passing_score,duel_defending_score,progressive_midfielder_score,passer_defender_score,goalkeeper_score,overall_score,age_bonus,reliability_bonus,age_potential_score,team_average_score,score_above_team_average,standout_bonus,weak_team_bonus,underrated_score
129013,Marko Livaja,Hajduk Split,Attacker,32,Croatia,35.0,3097.0,19.0,10.0,88.0,40.0,723.0,67.08,18.0,4.0,364.0,161.0,5.0,1.0,7.49,58.0,27.0,10.0,53.0,33.0,7.0,57.0,26.0,46.0,68.0,23.0,0.0,0.0,31.0,12.0,0.0,0.5521472392638037,0.290603810138844,2.5573135292218274,1.1624152405553765,21.010655473038423,0.5230868582499193,0.1162415240555376,0.1743622860833064,1.6855020988052956,0.7846302873748789,0.290603810138844,1.5402001937358734,0.9589925734581852,0.2034226670971908,1.656441717791411,0.7555699063609945,1.3367775266386823,1.9761059089441395,0.6683887633193413,0.0,0.9008718114304164,34.285714285714285,45.45454545454545,21.59090909090909,0.6708,44.23076923076923,88.48571428571428,0.8427510494026478,46.55172413793103,21.21212121212121,45.6140350877193,92.72727272727273,50.90909090909091,25.45454545454545,58.415841584158414,67.98679867986799,33.56435643564357,25.742574257425744,71.36363636363636,35.0,,56.56885688568857,0.0,8.0,64.56885688568858,49.584473497440825,6.984383388247743,3.4921916941238713,0.36202317393019,60.423071753742626
29992,Ivan Rakitić,Hajduk Split,Midfielder,38,Croatia,35.0,3065.0,2.0,4.0,45.0,10.0,1973.0,81.4,55.0,50.0,263.0,134.0,5.0,0.0,7.45,27.0,5.0,22.0,49.0,225.0,72.0,251.0,126.0,75.0,25.0,31.0,0.0,0.0,33.0,12.0,0.0,0.0587275693311582,0.1174551386623164,1.3213703099510603,0.2936378466557912,57.9347471451876,1.6150081566068517,1.468189233278956,0.1468189233278956,0.7928221859706363,0.1468189233278956,0.6460032626427407,1.438825448613377,6.6068515497553015,2.1141924959216967,7.370309951060359,3.699836867862969,2.202283849918434,0.734094616639478,0.9102773246329527,0.0,0.9690048939641108,34.285714285714285,22.22222222222222,4.444444444444445,0.8140000000000001,50.95057034220533,87.57142857142857,0.1761827079934747,18.51851851851852,32.0,50.199203187250994,42.076502732240435,77.59562841530054,60.928961748633874,64.60396039603961,33.993399339933994,90.0990099009901,48.27970297029702,67.62295081967213,74.1120218579235,,60.64072390845642,0.0,7.96039603960396,68.60111994806039,49.584473497440825,11.056250411015597,5.5281252055077985,0.36202317393019,66.53087228789443
1193792,Martin Zlomislic,Rijeka,Goalkeeper,27,Bosnia and Herzegovina,34.0,3054.0,0.0,0.0,0.0,0.0,984.0,66.26,2.0,0.0,20.0,19.0,2.0,0.0,6.86,0.0,0.0,1.0,4.0,0.0,0.0,497.0,167.0,1.0,12.0,28.0,53.0,27.0,21.0,19.0,0.0,0.0,0.0,0.0,0.0,28.99803536345776,0.0589390962671905,0.0,0.0589390962671905,0.0,0.0,0.0294695481335952,0.1178781925343811,0.0,0.0,14.646365422396856,4.921414538310413,0.0294695481335952,0.3536345776031434,0.825147347740668,1.56188605108055,0.618860510805501,55.88235294117647,0.0,0.0,0.6626000000000001,95.0,89.82352941176471,0.0,0.0,0.0,33.601609657947684,53.57142857142858,53.57142857142858,72.6190476190476,89.60396039603961,4.455445544554455,31.386138613861384,28.638613861386133,59.82142857142857,64.88095238095238,56.42857142857142,62.888967468175395,0.0,7.920792079207921,70.80975954738332,51.55523601085063,11.333731457324767,5.666865728662383,0.0,68.55583319683778
73932,Fran Karacic,Lokomotiva Zagreb,Defender,30,Australia,34.0,3030.0,4.0,4.0,58.0,12.0,1210.0,66.61,36.0,36.0,279.0,152.0,7.0,0.0,7.12,39.0,18.0,14.0,19.0,128.0,23.0,317.0,107.0,32.0,83.0,121.0,0.0,0.0,48.0,7.0,0.0,0.1188118811881188,0.1188118811881188,1.7227722772277227,0.3564356435643564,35.94059405940594,1.0693069306930694,1.0693069306930694,0.2079207920792079,1.1584158415841583,0.5346534653465347,0.4158415841584158,0.5643564356435643,3.801980198019802,0.6831683168316832,9.415841584158416,3.1782178217821784,0.9504950495049505,2.4653465346534653,3.594059405940594,0.0,1.4257425742574257,20.58823529411765,20.689655172413797,6.896551724137931,0.6661,54.48028673835125,89.11764705882354,0.2376237623762376,46.15384615384615,17.96875,33.753943217665615,83.7962962962963,42.129629629629626,35.18518518518518,46.53465346534653,45.04950495049505,58.118811881188115,62.97029702970298,86.80555555555556,41.72453703703704,,52.98679867986799,0.0,7.881188118811881,60.867986798679866,47.31337146692811,5.6734272129398775,2.8367136064699388,1.4975741891865475,57.32108647552448
26336984,Niko Jankovic,Rijeka,Midfielder,24,Croatia,34.0,2995.0,8.0,2.0,73.0,23.0,781.0,72.86,53.0,18.0,359.0,163.0,6.0,0.0,7.22,43.0,17.0,30.0,57.0,81.0,23.0,76.0,30.0,40.0,36.0,22.0,0.0,0.0,20.0,20.0,0.0,0.2404006677796327,0.0601001669449081,2.1936560934891487,0.6911519198664441,23.46911519198665,1.5926544240400669,0.5409015025041736,0.1803005008347245,1.2921535893155258,0.5108514190317195,0.9015025041736228,1.7128547579298832,2.4340567612687813,0.6911519198664441,2.283806343906511,0.9015025041736228,1.2020033388981637,1.0818030050083471,0.66110183639399,0.0,0.6010016694490818,58.8235294117647,31.506849315068493,10.95890410958904,0.7286,45.40389972144847,88.08823529411765,0.3005008347245409,39.53488372093023,28.395061728395063,39.47368421052632,80.327868852459,23.497267759562842,29.508196721311474,56.43564356435643,56.76567656765676,46.039603960396036,33.56435643564357,43.85245901639344,27.868852459016395,,45.64356435643565,0.0,7.841584158415842,53.48514851485149,51.55523601085063,-5.911671654414981,0.0,0.0,45.64356435643565
76452,Zvonimir Subaric,Lokomotiva Zagreb,Goalkeeper,29,Croatia,33.0,2970.0,0.0,0.0,0.0,0.0,844.0,63.74,1.0,0.0,12.0,11.0,3.0,0.0,6.82,0.0,0.0,0.0,6.0,0.0,0.0,457.0,157.0,0.0,5.0,21.0,92.0,66.0,46.0,7.0,1.0,0.0,0.0,0.0,0.0,25.57575757575757,0.0303030303030303,0.0,0.0909090909090909,0.0,0.0,0.0,0.1818181818181818,0.0,0.0,13.848484848484848,4.757575757575758,0.0,0.1515151515151515,0.6363636363636364,2.787878787878788,1.393939393939394,21.21212121212121,0.0,0.0,0.6374,91.66666666666669,90.0,0.0,0.0,0.0,34.354485776805255,53.57142857142858,29.761904761904763,65.47619047619047,79.70297029702971,5.2805280528052805,26.980198019801982,24.87623762376237,46.42857142857143,45.6845238095238,45.71428571428571,52.61315417256011,0.0,7.801980198019802,60.415134370579906,47.31337146692811,5.299782705631998,2.649891352815999,1.4975741891865475,56.76061971456265
52801,Dario Maresic,Istra 1961,Defender,26,Austria,33.0,2911.0,3.0,0.0,24.0,7.0,1887.0,77.8,70.0,33.0,304.0,172.0,8.0,0.0,7.14,17.0,12.0,20.0,39.0,11.0,5.0,436.0,201.0,20.0,52.0,112.0,0.0,0.0,35.0,11.0,0.0,0.0927516317416695,0.0,0.7420130539333563,0.2164204740638955,58.34077636551013,2.164204740638956,1.0202679491583648,0.247337684644452,0.5255925798694606,0.3710065269666781,0.6183442116111302,1.205771212641704,0.3400893163861216,0.1545860529027825,13.479903813122638,6.214359326691858,0.6183442116111302,1.6076949501889386,3.462727585022329,0.0,1.082102370319478,33.333333333333336,29.166666666666668,12.5,0.778,56.578947368421055,88.21212121212122,0.0927516317416695,70.58823529411765,45.45454545454545,46.10091743119266,81.01851851851852,52.31481481481482,59.72222222222223,37.62376237623762,63.03630363036303,67.22772277227723,69.35643564356434,62.15277777777778,67.70833333333334,,61.679042904290434,0.0,7.762376237623762,69.4414191419142,49.340686507175306,12.338356397115128,6.169178198557564,0.4839166690629497,68.33213777191095
16488582,Ville Koski,Istra 1961,Defender,24,Finland,34.0,2881.0,0.0,1.0,16.0,2.0,1619.0,83.45,36.0,36.0,246.0,138.0,5.0,0.0,7.08,10.0,4.0,11.0,19.0,7.0,1.0,235.0,98.0,10.0,80.0,168.0,0.0,0.0,30.0,13.0,0.0,0.0,0.03123915307185,0.4998264491496008,0.0624783061437001,50.57618882332523,1.124609510586602,1.124609510586602,0.1561957653592502,0.3123915307185005,0.1249566122874002,0.3436306837903505,0.593543908365151,0.2186740715029503,0.03123915307185,7.341200971884763,3.061437001041305,0.3123915307185005,2.499132245748004,5.248177716070809,0.0,0.9371745921555016,38.23529411764706,12.5,0.0,0.8345,56.09756097560975,84.73529411764706,0.03123915307185,40.0,14.285714285714286,41.70212765957447,27.31481481481482,66.20370370370371,41.666666666666664,62.87128712871287,27.145214521452147,57.62376237623762,68.53960396039604,44.791666666666664,52.43055555555556,,46.842684268426844,0.0,7.7227722772277225,54.56545654565457,49.340686507175306,-2.4980022387484624,0.0,0.4839166690629497,47.32660093748979
76047,Ivan Sušak,Slaven Koprivnica,Goalkeeper,28,Croatia,32.0,2880.0,0.0,0.0,0.0,0.0,890.0,67.64,0.0,0.0,10.0,9.0,2.0,0.0,7.04,0.0,0.0,0.0,6.0,0.0,0.0,450.0,172.0,0.0,3.0,24.0,101.0,70.0,35.0,9.0,2.0,0.0,0.0,0.0,0.0,27.8125,0.0,0.0,0.0625,0.0,0.0,0.0,0.1875,0.0,0.0,14.0625,5.375,0.0,0.09375,0.75,3.15625,1.09375,28.125,0.0,0.0,0.6764,90.0,90.0,0.0,0.0,0.0,38.22222222222222,53.57142857142858,55.952380952380956,46.42857142857142,87.37623762376238,5.528052805280527,31.534653465346537,25.160891089108915,48.21428571428571,51.33928571428571,69.28571428571428,55.52333804809053,0.0,7.643564356435643,63.16690240452617,51.30896541384557,4.21437263424496,2.10718631712248,0.0,57.630524365213006
73710,Marko Malenica,Osijek,Goalkeeper,32,Croatia,32.0,2880.0,0.0,0.0,0.0,0.0,840.0,65.95,1.0,0.0,7.0,7.0,0.0,0.0,6.99,0.0,0.0,0.0,2.0,0.0,0.0,439.0,158.0,1.0,5.0,26.0,101.0,68.0,42.0,8.0,0.0,0.0,0.0,0.0,0.0,26.25,0.03125,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,13.71875,4.9375,0.03125,0.15625,0.8125,3.15625,1.3125,25.0,0.0,0.0,0.6595,100.0,90.0,0.0,0.0,0.0,35.99088838268793,53.57142857142858,39.285714285714285,77.3809523809524,96.2871287128713,3.7953795379537953,29.00990099009901,27.982673267326735,56.25,63.6904761904762,48.57142857142857,60.700141442715704,0.0,7.643564356435643,68.34370579915135,52.198656341043936,8.501485101671769,4.250742550835884,0.0,64.95088399355159
