player_id,player_name,team_name,position,age,minutes,rating,goals_per90,assists_per90,shots_per90,shots_on_target_per90,passes_per90,tackles_per90,interceptions_per90,cards_per90,shot_accuracy,goal_conversion,pass_accuracy_ratio,duel_success_rate,minutes_per_appearance,goal_contribution_per90,attacking_score,creative_score,defensive_score,discipline_score,overall_score,cluster
37556504,Paul Tabinas,Dinamo Zagreb,Defender,24.0,505.0,6.48,0.0,0.1782178217821782,0.3564356435643564,0.0,21.92079207920792,2.1386138613861387,0.7128712871287128,0.0,0.0,0.0,0.7561,50.0,56.11111111111112,0.1782178217821782,17.91483113069016,43.24522760646108,56.16740088105727,93.17180616740087,44.51541850220264,3
37594758,Fran Topic,Dinamo Zagreb,Attacker,22.0,732.0,6.76,0.2459016393442623,0.0,1.9672131147540983,0.7377049180327869,30.983606557377048,2.0901639344262297,0.6147540983606558,0.2459016393442623,37.5,12.5,0.7857,48.48484848484848,43.05882352941177,0.2459016393442623,80.98384728340676,36.78414096916299,50.66079295154185,33.48017621145375,53.87665198237885,3
22878483,Dion Beljo,Dinamo Zagreb,Attacker,24.0,2619.0,7.47,1.0652920962199313,0.1718213058419244,3.5051546391752577,1.924398625429553,17.353951890034363,0.2405498281786941,0.1718213058419244,0.0687285223367697,54.90196078431372,30.392156862745097,0.7743000000000001,48.14814814814815,72.75,1.2371134020618555,99.70631424375917,42.58443465491924,18.869309838472837,80.61674008810573,56.40969162995594,0
1486200,Arbër Hoxha,Dinamo Zagreb,Attacker,27.0,1818.0,6.97,0.3465346534653465,0.2475247524752475,2.6732673267326734,0.9405940594059404,22.871287128712872,0.9405940594059404,0.2475247524752475,0.1485148514851485,35.18518518518518,12.962962962962964,0.8312,43.67346938775511,58.64516129032258,0.594059405940594,86.63729809104258,60.4992657856094,19.67694566813509,58.14977973568282,55.8590308370044,0
74071,Ivan Nevistic,Dinamo Zagreb,Goalkeeper,27.0,1170.0,6.73,0.0,0.0,0.0,0.0,30.07692307692308,0.0,0.0,0.0,0.0,0.0,0.7289,75.0,90.0,0.0,17.91483113069016,27.38619676945668,33.480176211453745,93.17180616740087,32.95154185022026,2
173047,Scott McKenna,Dinamo Zagreb,Defender,29.0,2628.0,7.11,0.0684931506849315,0.1027397260273972,0.9246575342465754,0.273972602739726,68.01369863013699,0.958904109589041,0.6164383561643836,0.1027397260273972,29.62962962962963,7.407407407407407,0.8993000000000001,65.2542372881356,87.6,0.1712328767123287,55.87371512481644,87.07782672540382,50.80763582966227,71.58590308370044,65.2863436123348,1
37553141,Monsef Bakrar,Dinamo Zagreb,Attacker,25.0,1511.0,6.87,0.5956320317670417,0.2382528127068166,3.156849768365321,1.1317008603573793,21.74056915949702,1.3103904698874915,0.8934480476505625,0.357379219060225,35.84905660377358,18.867924528301888,0.7095999999999999,38.13953488372093,52.10344827586207,0.8338848444738584,95.15418502202644,41.26284875183554,33.333333333333336,11.453744493392064,52.0704845814978,0
37538492,Gabriel Vidovic,Dinamo Zagreb,Attacker,22.0,1380.0,7.0,0.4565217391304347,0.2608695652173913,2.4782608695652173,0.9782608695652174,34.82608695652174,1.3695652173913044,0.8478260869565217,0.0652173913043478,39.47368421052632,18.42105263157895,0.8652,49.681528662420384,51.11111111111112,0.717391304347826,91.776798825257,79.00146842878121,47.28340675477239,81.93832599118943,73.61233480176212,0
73721,Dominik Livakovic,Dinamo Zagreb,Goalkeeper,31.0,1260.0,6.78,0.0,0.0,0.0,0.0,28.428571428571427,0.0,0.0,0.0,0.0,0.0,0.8140999999999999,100.0,90.0,0.0,17.91483113069016,38.839941262848754,34.87518355359765,93.17180616740087,36.80616740088106,2
37550997,Moreno Zivkovic,Dinamo Zagreb,Defender,22.0,1199.0,6.5,0.0,0.0750625521267723,0.0750625521267723,0.0,36.25521267723103,1.5763135946622184,1.426188490408674,0.3002502085070892,0.0,0.0,0.8427,59.09090909090909,85.64285714285714,0.0750625521267723,17.91483113069016,62.77533039647577,74.22907488986783,19.162995594713664,48.392070484581495,1
100190,Ismaël Bennacer,Dinamo Zagreb,Midfielder,28.0,956.0,7.13,0.0941422594142259,0.1882845188284518,0.7531380753138075,0.3765690376569037,63.07531380753138,2.5418410041841004,1.0355648535564854,0.1882845188284518,50.0,12.5,0.8925,60.54421768707483,56.23529411764706,0.2824267782426778,67.18061674008811,91.77679882525696,78.78120411160059,46.475770925110126,75.96916299559471,1
134041,Miha Zajc,Dinamo Zagreb,Midfielder,32.0,1656.0,7.46,0.4347826086956521,0.3804347826086957,1.9565217391304348,0.7608695652173914,43.42391304347826,1.3043478260869563,0.7608695652173914,0.108695652173913,38.888888888888886,22.22222222222222,0.8498,43.51145038167939,72.0,0.8152173913043479,92.0704845814978,83.99412628487518,34.58149779735683,70.04405286343612,70.19823788546255,0
540173,Sandro Kulenovic,Dinamo Zagreb,Attacker,26.0,505.0,6.93,1.0693069306930694,0.0,3.742574257425743,1.7821782178217822,26.73267326732673,0.8910891089108911,0.3564356435643564,0.7128712871287128,47.61904761904762,28.571428571428573,0.7267,48.4375,31.5625,1.0693069306930694,99.55947136563876,23.421439060205586,26.284875183553595,1.321585903083701,44.91189427312775,0
1452457,Dejan Ljubicic,Dinamo Zagreb,Midfielder,28.0,1008.0,6.83,0.0,0.2678571428571428,1.4285714285714286,0.5357142857142857,35.535714285714285,1.0714285714285714,0.1785714285714285,0.0892857142857142,37.5,0.0,0.8568000000000001,32.25806451612903,67.2,0.2678571428571428,39.3538913362702,78.12041116005874,14.096916299559473,75.77092511013215,47.04845814977973,3
73489,Ivan Filipovic,Dinamo Zagreb,Goalkeeper,31.0,810.0,6.83,0.0,0.0,0.0,0.0,28.444444444444443,0.1111111111111111,0.0,0.0,0.0,0.0,0.75,100.0,90.0,0.0,17.91483113069016,28.340675477239355,36.49045521292218,93.17180616740087,34.1409691629956,2
37512280,Niko Galesic,Dinamo Zagreb,Defender,25.0,1405.0,6.85,0.0,0.0,0.896797153024911,0.192170818505338,61.62277580071174,2.04982206405694,1.0249110320284698,0.0640569395017793,21.428571428571427,0.0,0.8701000000000001,57.85123966942149,63.86363636363637,0.0,29.51541850220265,68.79588839941262,71.36563876651982,82.81938325991189,59.18502202643173,1
73519,Josip Misic,Dinamo Zagreb,Midfielder,32.0,2658.0,7.26,0.0677200902934537,0.1015801354401805,0.981941309255079,0.3386004514672686,52.957110609480814,2.2686230248307,1.72686230248307,0.2708803611738149,34.48275862068966,6.896551724137931,0.8824,56.52173913043478,85.74193548387096,0.1693002257336343,56.38766519823789,82.8193832599119,84.1409691629956,27.75330396475772,69.77973568281938,1
37540937,Mateo Lisica,Dinamo Zagreb,Attacker,22.0,1387.0,6.97,0.129776496034607,0.5191059841384282,1.3626532083633742,0.3893294881038212,32.89834174477289,1.6222062004325883,0.5839942321557318,0.0648882480173035,28.571428571428573,9.523809523809524,0.8659,55.172413793103445,55.48,0.6488824801730353,67.62114537444934,78.56093979441998,53.15712187958885,82.37885462555066,68.03964757709251,3
75251,Bruno Goda,Dinamo Zagreb,Defender,28.0,1587.0,6.8,0.0,0.1134215500945179,0.5103969754253308,0.0,49.56521739130435,2.722117202268431,1.3610586011342154,0.1134215500945179,0.0,0.0,0.7895,60.73298429319372,63.48,0.1134215500945179,17.91483113069016,67.40088105726873,87.66519823788546,69.60352422907489,58.85462555066079,1
