player_id,player_name,team_name,position,age,nationality,appearances,minutes,goals,assists,shots,shots_on_target,passes,pass_accuracy,tackles,interceptions,duels,duels_won,yellow_cards,red_cards,rating
23287457,Yannick Toure,Osijek,Attacker,25.0,Switzerland,11.0,495.0,0.0,1.0,8.0,3.0,83.0,74.7,4.0,1.0,62.0,24.0,0.0,0.0,6.6
37528365,Nail Omerovic,Osijek,Attacker,23.0,Bosnia and Herzegovina,35.0,2694.0,9.0,1.0,86.0,27.0,989.0,79.07,52.0,13.0,442.0,190.0,5.0,0.0,6.91
37732489,Matej Grahovac,Osijek,Goalkeeper,18.0,,1.0,90.0,0.0,0.0,0.0,0.0,25.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,7.17
784369,Tonio Teklic,Osijek,Midfielder,26.0,Croatia,13.0,829.0,0.0,0.0,18.0,6.0,290.0,72.41,15.0,7.0,96.0,47.0,1.0,0.0,6.79
21054111,David Colina,Osijek,Defender,25.0,Croatia,29.0,1951.0,0.0,3.0,11.0,2.0,699.0,77.4,43.0,23.0,230.0,102.0,2.0,0.0,6.69
37754863,Ivano Kolarik,Osijek,Defender,19.0,,8.0,450.0,0.0,0.0,4.0,1.0,232.0,84.05,10.0,6.0,47.0,22.0,3.0,0.0,6.76
37728377,Ivan Barić,Osijek,Attacker,19.0,Croatia,10.0,227.0,0.0,0.0,2.0,0.0,51.0,74.51,5.0,2.0,34.0,15.0,1.0,0.0,6.56
73932,Fran Karacic,Osijek,Defender,30.0,Australia,11.0,908.0,1.0,1.0,7.0,2.0,301.0,74.09,21.0,12.0,80.0,40.0,1.0,0.0,6.71
37567341,David Mejía,Osijek,Midfielder,23.0,Colombia,11.0,743.0,1.0,1.0,14.0,2.0,332.0,84.64,21.0,10.0,96.0,46.0,7.0,0.0,6.94
37783726,David Kalem,Osijek,Attacker,17.0,,1.0,69.0,0.0,0.0,0.0,0.0,25.0,68.0,3.0,0.0,10.0,7.0,0.0,0.0,6.94
496680,Arnel Jakupovic,Osijek,Attacker,28.0,Austria,30.0,2179.0,3.0,1.0,63.0,17.0,488.0,73.16,20.0,5.0,251.0,109.0,3.0,0.0,6.87
537274,Oleksandr Petrusenko,Osijek,Midfielder,28.0,Ukraine,24.0,1484.0,0.0,0.0,8.0,3.0,749.0,88.92,50.0,24.0,156.0,78.0,4.0,0.0,6.71
37600592,Luka Vrbancic,Osijek,Midfielder,21.0,Croatia,18.0,1033.0,0.0,0.0,13.0,1.0,570.0,80.88,35.0,8.0,159.0,82.0,3.0,0.0,6.72
34481476,Roko Jurisic,Osijek,Defender,24.0,Croatia,19.0,1229.0,0.0,2.0,7.0,3.0,679.0,84.68,26.0,12.0,110.0,67.0,3.0,0.0,6.77
37688968,Anton Matkovic,Osijek,Attacker,20.0,Croatia,17.0,996.0,1.0,1.0,14.0,6.0,151.0,64.24,11.0,3.0,149.0,67.0,1.0,0.0,6.65
73552,Borna Barisic,Osijek,Defender,33.0,Croatia,10.0,621.0,0.0,0.0,2.0,1.0,301.0,90.03,6.0,7.0,41.0,22.0,3.0,0.0,6.78
37596447,Filip Cuic,Gorica,Attacker,23.0,Bosnia and Herzegovina,22.0,1635.0,4.0,1.0,49.0,18.0,396.0,67.17,17.0,4.0,238.0,96.0,4.0,0.0,6.83
37757219,Mihael Kelava,Gorica,Midfielder,17.0,,1.0,8.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,6.0,0.0,0.0,0.0,5.98
37648990,Vanja Pelko,Gorica,Attacker,24.0,Croatia,8.0,117.0,0.0,0.0,7.0,2.0,22.0,77.27,2.0,1.0,19.0,8.0,0.0,0.0,6.49
37529453,Elvir Durakovic,Gorica,Defender,26.0,Bosnia and Herzegovina,15.0,712.0,0.0,0.0,12.0,4.0,196.0,70.41,22.0,14.0,108.0,58.0,1.0,1.0,6.58
21072870,Jurica Prsir,Gorica,Midfielder,26.0,Croatia,33.0,2601.0,7.0,3.0,57.0,19.0,897.0,82.16,62.0,16.0,381.0,181.0,8.0,0.0,6.94
5968017,Zan Trontelj,Gorica,Defender,26.0,Slovenia,33.0,2960.0,3.0,4.0,12.0,7.0,1129.0,75.2,67.0,23.0,288.0,132.0,4.0,0.0,6.93
12393223,Mateo Les,Gorica,Defender,26.0,Croatia,23.0,1639.0,0.0,0.0,2.0,0.0,915.0,91.04,24.0,14.0,129.0,66.0,4.0,0.0,6.54
37685172,Hadji Issa Moustapha,Gorica,Defender,22.0,Cameroon,2.0,173.0,0.0,0.0,0.0,0.0,67.0,86.57,4.0,2.0,21.0,11.0,1.0,0.0,6.77
75072,Marijan Cabraja,Gorica,Defender,29.0,Croatia,31.0,2661.0,1.0,4.0,22.0,5.0,1505.0,80.47,57.0,34.0,263.0,141.0,8.0,0.0,7.06
37664352,Medin Gashi,Gorica,Attacker,20.0,Kosovo,15.0,180.0,0.0,2.0,5.0,1.0,48.0,60.42,3.0,1.0,38.0,21.0,0.0,0.0,6.58
73914,Ivan Fiolic,Gorica,Midfielder,30.0,Croatia,22.0,637.0,0.0,0.0,16.0,4.0,279.0,73.48,9.0,2.0,44.0,19.0,1.0,0.0,6.53
412433,Bruno Bogojevic,Gorica,Attacker,28.0,Croatia,16.0,1255.0,4.0,3.0,23.0,14.0,239.0,70.71,13.0,11.0,122.0,52.0,2.0,0.0,6.89
16120385,Davor Matijas,Gorica,Goalkeeper,26.0,Croatia,36.0,3240.0,0.0,0.0,0.0,0.0,1030.0,67.28,1.0,2.0,23.0,17.0,3.0,0.0,6.81
37660075,Ante Kavelj,Gorica,Midfielder,20.0,Croatia,36.0,3106.0,3.0,2.0,24.0,10.0,983.0,76.5,67.0,49.0,325.0,184.0,3.0,0.0,6.87
37656551,Jakov Gurlica,Gorica,Defender,22.0,Croatia,1.0,5.0,1.0,0.0,15.0,5.0,1.0,29400.0,2.0,19.0,2.0,2.0,3.0,0.0,6.9
37745418,Luka Vrzic,Gorica,Attacker,19.0,,29.0,1209.0,1.0,0.0,27.0,8.0,390.0,75.9,29.0,11.0,136.0,60.0,2.0,0.0,6.65
74082,Jakov Filipovic,Gorica,Defender,33.0,Croatia,34.0,3027.0,2.0,0.0,15.0,7.0,1374.0,85.88,33.0,44.0,227.0,146.0,3.0,0.0,6.8
37356247,Ognjen Bakic,Gorica,Midfielder,23.0,Montenegro,24.0,1110.0,1.0,1.0,15.0,6.0,342.0,79.53,24.0,13.0,124.0,53.0,6.0,0.0,6.64
37738667,Sule Wisdom Aondowase,Gorica,Attacker,22.0,,13.0,483.0,0.0,1.0,13.0,1.0,71.0,64.79,4.0,0.0,79.0,31.0,2.0,0.0,6.54
37682737,Zvonimir Josic,Gorica,Defender,19.0,Croatia,3.0,57.0,0.0,0.0,1.0,0.0,15.0,66.67,1.0,0.0,6.0,3.0,0.0,0.0,6.5
73733,Domagoj Pavicic,Gorica,Midfielder,32.0,Croatia,32.0,1933.0,3.0,2.0,28.0,11.0,694.0,84.15,26.0,11.0,205.0,101.0,4.0,0.0,6.77
537374,Théo Epailly,Gorica,Attacker,27.0,France,14.0,400.0,0.0,1.0,8.0,0.0,81.0,76.54,5.0,1.0,78.0,36.0,0.0,0.0,6.55
38127159,Stjepan Kucis,Gorica,Midfielder,19.0,Croatia,14.0,200.0,0.0,0.0,1.0,0.0,64.0,78.12,3.0,4.0,29.0,12.0,0.0,0.0,6.56
37742,Stefan Peric,Gorica,Defender,29.0,Austria,29.0,2359.0,0.0,0.0,3.0,2.0,1153.0,83.52,39.0,20.0,188.0,113.0,5.0,1.0,6.74
540670,Iker Pozo,Gorica,Midfielder,25.0,Spain,32.0,2716.0,4.0,6.0,15.0,7.0,1302.0,87.17,79.0,47.0,374.0,214.0,11.0,0.0,7.12
73159,Ante Erceg,Gorica,Attacker,36.0,Croatia,20.0,1035.0,6.0,0.0,36.0,14.0,348.0,77.87,13.0,2.0,143.0,56.0,3.0,0.0,6.85
