player_id,player_name,team_name,position,age,nationality,appearances,minutes,goals,assists,shots,shots_on_target,passes,pass_accuracy,tackles,interceptions,duels,duels_won,yellow_cards,red_cards,rating,dribble_attempts,successful_dribbles,dribbled_past,fouls_drawn,crosses,accurate_crosses,long_balls,accurate_long_balls,key_passes,aerials_won,clearances,saves,saves_inside_box,goals_conceded,clean_sheets,penalties_saved,goals_per90,assists_per90,shots_per90,shots_on_target_per90,passes_per90,tackles_per90,interceptions_per90,cards_per90,dribble_attempts_per90,successful_dribbles_per90,dribbled_past_per90,fouls_drawn_per90,crosses_per90,accurate_crosses_per90,long_balls_per90,accurate_long_balls_per90,key_passes_per90,aerials_won_per90,clearances_per90,saves_per90,goals_conceded_per90,clean_sheet_rate,shot_accuracy,goal_conversion,pass_accuracy_ratio,duel_success_rate,minutes_per_appearance,goal_contribution_per90,dribble_success_rate,cross_accuracy,long_ball_accuracy
129013,Marko Livaja,Hajduk Split,Attacker,32,Croatia,35.0,3097.0,19.0,10.0,88.0,40.0,723.0,67.08,18.0,4.0,364.0,161.0,5.0,1.0,7.49,58.0,27.0,10.0,53.0,33.0,7.0,57.0,26.0,46.0,68.0,23.0,0.0,0.0,31.0,12.0,0.0,0.5521472392638037,0.29060381013884407,2.5573135292218274,1.1624152405553763,21.010655473038423,0.5230868582499193,0.11624152405553762,0.17436228608330642,1.6855020988052956,0.7846302873748789,0.29060381013884407,1.5402001937358734,0.9589925734581853,0.20342266709719084,1.656441717791411,0.7555699063609945,1.3367775266386825,1.9761059089441395,0.6683887633193413,0.0,0.9008718114304165,34.285714285714285,45.45454545454545,21.59090909090909,0.6708,44.23076923076923,88.48571428571428,0.8427510494026478,46.55172413793103,21.21212121212121,45.6140350877193
29992,Ivan Rakitić,Hajduk Split,Midfielder,38,Croatia,35.0,3065.0,2.0,4.0,45.0,10.0,1973.0,81.4,55.0,50.0,263.0,134.0,5.0,0.0,7.45,27.0,5.0,22.0,49.0,225.0,72.0,251.0,126.0,75.0,25.0,31.0,0.0,0.0,33.0,12.0,0.0,0.05872756933115824,0.11745513866231648,1.3213703099510603,0.2936378466557912,57.9347471451876,1.6150081566068515,1.468189233278956,0.1468189233278956,0.7928221859706363,0.1468189233278956,0.6460032626427407,1.438825448613377,6.6068515497553015,2.1141924959216967,7.370309951060359,3.699836867862969,2.202283849918434,0.734094616639478,0.9102773246329527,0.0,0.9690048939641109,34.285714285714285,22.22222222222222,4.444444444444445,0.8140000000000001,50.950570342205324,87.57142857142857,0.1761827079934747,18.51851851851852,32.0,50.199203187250994
1193792,Martin Zlomislic,Rijeka,Goalkeeper,27,Bosnia and Herzegovina,34.0,3054.0,0.0,0.0,0.0,0.0,984.0,66.26,2.0,0.0,20.0,19.0,2.0,0.0,6.86,0.0,0.0,1.0,4.0,0.0,0.0,497.0,167.0,1.0,12.0,28.0,53.0,27.0,21.0,19.0,0.0,0.0,0.0,0.0,0.0,28.99803536345776,0.05893909626719057,0.0,0.05893909626719057,0.0,0.0,0.029469548133595286,0.11787819253438114,0.0,0.0,14.646365422396856,4.921414538310413,0.029469548133595286,0.35363457760314343,0.825147347740668,1.5618860510805501,0.618860510805501,55.88235294117647,0.0,0.0,0.6626000000000001,95.0,89.82352941176471,0.0,0.0,0.0,33.601609657947684
73932,Fran Karacic,Lokomotiva Zagreb,Defender,30,Australia,34.0,3030.0,4.0,4.0,58.0,12.0,1210.0,66.61,36.0,36.0,279.0,152.0,7.0,0.0,7.12,39.0,18.0,14.0,19.0,128.0,23.0,317.0,107.0,32.0,83.0,121.0,0.0,0.0,48.0,7.0,0.0,0.1188118811881188,0.1188118811881188,1.7227722772277227,0.3564356435643564,35.94059405940594,1.0693069306930694,1.0693069306930694,0.2079207920792079,1.1584158415841583,0.5346534653465347,0.4158415841584158,0.5643564356435643,3.801980198019802,0.6831683168316832,9.415841584158416,3.1782178217821784,0.9504950495049505,2.4653465346534653,3.594059405940594,0.0,1.4257425742574257,20.58823529411765,20.689655172413794,6.896551724137931,0.6661,54.48028673835125,89.11764705882354,0.2376237623762376,46.15384615384615,17.96875,33.753943217665615
26336984,Niko Jankovic,Rijeka,Midfielder,24,Croatia,34.0,2995.0,8.0,2.0,73.0,23.0,781.0,72.86,53.0,18.0,359.0,163.0,6.0,0.0,7.22,43.0,17.0,30.0,57.0,81.0,23.0,76.0,30.0,40.0,36.0,22.0,0.0,0.0,20.0,20.0,0.0,0.24040066777963273,0.06010016694490818,2.1936560934891487,0.6911519198664441,23.469115191986646,1.5926544240400669,0.5409015025041736,0.18030050083472454,1.2921535893155258,0.5108514190317195,0.9015025041736227,1.7128547579298832,2.4340567612687813,0.6911519198664441,2.283806343906511,0.9015025041736227,1.2020033388981637,1.0818030050083471,0.66110183639399,0.0,0.6010016694490818,58.8235294117647,31.506849315068493,10.95890410958904,0.7286,45.40389972144847,88.08823529411765,0.3005008347245409,39.53488372093023,28.395061728395063,39.473684210526315
76452,Zvonimir Subaric,Lokomotiva Zagreb,Goalkeeper,29,Croatia,33.0,2970.0,0.0,0.0,0.0,0.0,844.0,63.74,1.0,0.0,12.0,11.0,3.0,0.0,6.82,0.0,0.0,0.0,6.0,0.0,0.0,457.0,157.0,0.0,5.0,21.0,92.0,66.0,46.0,7.0,1.0,0.0,0.0,0.0,0.0,25.575757575757574,0.030303030303030304,0.0,0.09090909090909091,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,13.848484848484848,4.757575757575758,0.0,0.15151515151515152,0.6363636363636364,2.787878787878788,1.393939393939394,21.21212121212121,0.0,0.0,0.6374,91.66666666666667,90.0,0.0,0.0,0.0,34.354485776805255
52801,Dario Maresic,Istra 1961,Defender,26,Austria,33.0,2911.0,3.0,0.0,24.0,7.0,1887.0,77.8,70.0,33.0,304.0,172.0,8.0,0.0,7.14,17.0,12.0,20.0,39.0,11.0,5.0,436.0,201.0,20.0,52.0,112.0,0.0,0.0,35.0,11.0,0.0,0.09275163174166953,0.0,0.7420130539333563,0.21642047406389556,58.34077636551013,2.1642047406389557,1.0202679491583648,0.24733768464445208,0.5255925798694606,0.37100652696667813,0.6183442116111302,1.205771212641704,0.3400893163861216,0.15458605290278254,13.479903813122638,6.214359326691858,0.6183442116111302,1.6076949501889386,3.462727585022329,0.0,1.0821023703194779,33.333333333333336,29.166666666666668,12.5,0.778,56.578947368421055,88.21212121212122,0.09275163174166953,70.58823529411765,45.45454545454545,46.10091743119266
16488582,Ville Koski,Istra 1961,Defender,24,Finland,34.0,2881.0,0.0,1.0,16.0,2.0,1619.0,83.45,36.0,36.0,246.0,138.0,5.0,0.0,7.08,10.0,4.0,11.0,19.0,7.0,1.0,235.0,98.0,10.0,80.0,168.0,0.0,0.0,30.0,13.0,0.0,0.0,0.031239153071850052,0.49982644914960084,0.062478306143700105,50.57618882332523,1.1246095105866019,1.1246095105866019,0.15619576535925025,0.3123915307185005,0.12495661228740021,0.34363068379035056,0.593543908365151,0.21867407150295037,0.031239153071850052,7.341200971884763,3.061437001041305,0.3123915307185005,2.499132245748004,5.248177716070809,0.0,0.9371745921555016,38.23529411764706,12.5,0.0,0.8345,56.09756097560975,84.73529411764706,0.031239153071850052,40.0,14.285714285714286,41.702127659574465
76047,Ivan Sušak,Slaven Koprivnica,Goalkeeper,28,Croatia,32.0,2880.0,0.0,0.0,0.0,0.0,890.0,67.64,0.0,0.0,10.0,9.0,2.0,0.0,7.04,0.0,0.0,0.0,6.0,0.0,0.0,450.0,172.0,0.0,3.0,24.0,101.0,70.0,35.0,9.0,2.0,0.0,0.0,0.0,0.0,27.8125,0.0,0.0,0.0625,0.0,0.0,0.0,0.1875,0.0,0.0,14.0625,5.375,0.0,0.09375,0.75,3.15625,1.09375,28.125,0.0,0.0,0.6764,90.0,90.0,0.0,0.0,0.0,38.22222222222222
73710,Marko Malenica,Osijek,Goalkeeper,32,Croatia,32.0,2880.0,0.0,0.0,0.0,0.0,840.0,65.95,1.0,0.0,7.0,7.0,0.0,0.0,6.99,0.0,0.0,0.0,2.0,0.0,0.0,439.0,158.0,1.0,5.0,26.0,101.0,68.0,42.0,8.0,0.0,0.0,0.0,0.0,0.0,26.25,0.03125,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,13.71875,4.9375,0.03125,0.15625,0.8125,3.15625,1.3125,25.0,0.0,0.0,0.6595,100.0,90.0,0.0,0.0,0.0,35.99088838268793
