player_id,player_name,team_name,position,age,nationality,appearances,minutes,goals,assists,shots,shots_on_target,passes,pass_accuracy,tackles,interceptions,duels,duels_won,yellow_cards,red_cards,rating,goals_per90,assists_per90,shots_per90,shots_on_target_per90,passes_per90,tackles_per90,interceptions_per90,cards_per90,shot_accuracy,goal_conversion,pass_accuracy_ratio,duel_success_rate,minutes_per_appearance,goal_contribution_per90,attacking_score,creative_score,defensive_score,discipline_score,overall_score
37696419,Noa Mikić,Dinamo Zagreb,Defender,19.0,Croatia,5.0,276.0,0.0,0.0,1.0,0.0,96.0,77.08,5.0,5.0,20.0,16.0,2.0,0.0,6.87,0.0,0.0,0.3260869565217391,0.0,31.30434782608696,1.6304347826086956,1.6304347826086956,0.6521739130434783,0.0,0.0,0.7707999999999999,80.0,55.2,0.0,,,,,
37556504,Paul Tabinas,Dinamo Zagreb,Defender,24.0,Philippines,9.0,505.0,0.0,1.0,2.0,0.0,123.0,75.61,12.0,4.0,58.0,29.0,0.0,0.0,6.48,0.0,0.1782178217821782,0.3564356435643564,0.0,21.92079207920792,2.1386138613861387,0.7128712871287128,0.0,0.0,0.0,0.7561,50.0,56.11111111111112,0.1782178217821782,17.91483113069016,43.24522760646108,56.16740088105727,93.17180616740089,44.515418502202635
37607123,Juan Córdoba,Dinamo Zagreb,Attacker,22.0,Colombia,2.0,57.0,1.0,0.0,2.0,1.0,23.0,86.96,1.0,0.0,8.0,5.0,0.0,0.0,7.01,1.5789473684210529,0.0,3.1578947368421053,1.5789473684210529,36.31578947368421,1.5789473684210529,0.0,0.0,50.0,50.0,0.8695999999999999,62.5,28.5,1.5789473684210529,,,,,
37594758,Fran Topic,Dinamo Zagreb,Attacker,22.0,Croatia,17.0,732.0,2.0,0.0,16.0,6.0,252.0,78.57,17.0,5.0,99.0,48.0,2.0,0.0,6.76,0.2459016393442623,0.0,1.9672131147540983,0.7377049180327869,30.983606557377048,2.0901639344262297,0.6147540983606558,0.2459016393442623,37.5,12.5,0.7857,48.48484848484848,43.05882352941177,0.2459016393442623,80.98384728340676,36.78414096916299,50.66079295154185,33.48017621145375,53.87665198237885
22878483,Dion Beljo,Dinamo Zagreb,Attacker,24.0,Croatia,36.0,2619.0,31.0,5.0,102.0,56.0,505.0,77.43,7.0,5.0,270.0,130.0,2.0,0.0,7.47,1.0652920962199313,0.1718213058419244,3.5051546391752577,1.924398625429553,17.353951890034363,0.2405498281786941,0.1718213058419244,0.0687285223367697,54.90196078431372,30.392156862745097,0.7743000000000001,48.14814814814815,72.75,1.2371134020618555,99.70631424375917,42.58443465491924,18.869309838472834,80.61674008810573,56.409691629955944
1486200,Arbër Hoxha,Dinamo Zagreb,Attacker,27.0,Kosovo,31.0,1818.0,7.0,5.0,54.0,19.0,462.0,83.12,19.0,5.0,245.0,107.0,3.0,0.0,6.97,0.3465346534653465,0.2475247524752475,2.6732673267326734,0.9405940594059404,22.871287128712872,0.9405940594059404,0.2475247524752475,0.1485148514851485,35.18518518518518,12.962962962962964,0.8312,43.67346938775511,58.64516129032258,0.594059405940594,86.63729809104258,60.499265785609396,19.676945668135094,58.14977973568282,55.8590308370044
96854,Ronaël Pierre-Gabriel,Dinamo Zagreb,Defender,28.0,France,1.0,24.0,0.0,0.0,0.0,0.0,14.0,78.57,2.0,0.0,6.0,4.0,1.0,0.0,6.45,0.0,0.0,0.0,0.0,52.5,7.5,0.0,3.75,0.0,0.0,0.7857,66.66666666666667,24.0,0.0,,,,,
74071,Ivan Nevistic,Dinamo Zagreb,Goalkeeper,27.0,Croatia,13.0,1170.0,0.0,0.0,0.0,0.0,391.0,72.89,0.0,0.0,4.0,3.0,0.0,0.0,6.73,0.0,0.0,0.0,0.0,30.07692307692308,0.0,0.0,0.0,0.0,0.0,0.7289,75.0,90.0,0.0,17.91483113069016,27.386196769456678,33.480176211453745,93.17180616740089,32.95154185022026
173047,Scott McKenna,Dinamo Zagreb,Defender,29.0,Scotland,30.0,2628.0,2.0,3.0,27.0,8.0,1986.0,89.93,28.0,18.0,236.0,154.0,3.0,0.0,7.11,0.0684931506849315,0.1027397260273972,0.9246575342465754,0.273972602739726,68.01369863013699,0.958904109589041,0.6164383561643836,0.1027397260273972,29.62962962962963,7.407407407407407,0.8993000000000001,65.2542372881356,87.6,0.1712328767123287,55.87371512481644,87.07782672540382,50.80763582966227,71.58590308370044,65.2863436123348
37553141,Monsef Bakrar,Dinamo Zagreb,Attacker,25.0,Algeria,29.0,1511.0,10.0,4.0,53.0,19.0,365.0,70.96,22.0,15.0,215.0,82.0,6.0,0.0,6.87,0.5956320317670417,0.2382528127068166,3.156849768365321,1.1317008603573793,21.74056915949702,1.3103904698874915,0.8934480476505625,0.357379219060225,35.84905660377358,18.867924528301888,0.7095999999999999,38.13953488372093,52.10344827586207,0.8338848444738584,95.15418502202643,41.26284875183554,33.333333333333336,11.453744493392065,52.0704845814978
37538492,Gabriel Vidovic,Dinamo Zagreb,Attacker,22.0,Croatia,27.0,1380.0,7.0,4.0,38.0,15.0,534.0,86.52,21.0,13.0,157.0,78.0,1.0,0.0,7.0,0.4565217391304347,0.2608695652173913,2.4782608695652173,0.9782608695652174,34.82608695652174,1.3695652173913044,0.8478260869565217,0.0652173913043478,39.47368421052632,18.42105263157895,0.8652,49.681528662420384,51.11111111111112,0.717391304347826,91.77679882525699,79.00146842878121,47.283406754772386,81.93832599118943,73.61233480176212
73721,Dominik Livakovic,Dinamo Zagreb,Goalkeeper,31.0,Croatia,14.0,1260.0,0.0,0.0,0.0,0.0,398.0,81.41,0.0,0.0,4.0,4.0,0.0,0.0,6.78,0.0,0.0,0.0,0.0,28.428571428571427,0.0,0.0,0.0,0.0,0.0,0.8140999999999999,100.0,90.0,0.0,17.91483113069016,38.839941262848754,34.87518355359765,93.17180616740089,36.80616740088106
