category,rank,player_id,player_name,team_name,position,age,minutes,goals,assists,goals_per90,assists_per90,attacking_score,creative_score,defensive_score,discipline_score,overall_score,dribbling_score,passing_score,duel_defending_score,progressive_midfielder_score,passer_defender_score,goalkeeper_score,age_bonus,reliability_bonus,age_potential_score,team_average_score,score_above_team_average,standout_bonus,weak_team_bonus,underrated_score
top_scorers,1,22878483,Dion Beljo,Dinamo Zagreb,Attacker,24.0,2619.0,31.0,5.0,1.0652920962199313,0.1718213058419244,99.38271604938272,51.85185185185185,32.098765432098766,80.27522935779817,63.02752293577981,66.20795107033639,35.50458715596331,27.775229357798167,52.77777777777777,39.891975308641975,,0.0,7.192660550458715,70.22018348623853,63.549995266537,-0.5224723307571821,0.0,0.0,63.02752293577981
top_scorers,2,73481,Jakov Puljic,Vukovar,Attacker,32.0,2743.0,16.0,0.0,0.5249726576740795,0.0,86.41975308641976,26.54320987654321,33.95061728395061,35.321100917431195,47.6061841658172,60.091743119266056,26.009174311926603,31.720183486238533,39.351851851851855,40.35493827160494,,0.0,7.559633027522936,55.16581719334013,43.20028406817515,4.405900097642046,2.202950048821023,3.620374289352135,53.42950850399036
top_scorers,3,34529,Smail Prevljak,Istra 1961,Attacker,31.0,2534.0,14.0,3.0,0.4972375690607735,0.10655090765588,87.03703703703705,42.59259259259259,12.962962962962962,59.17431192660551,48.69520897043833,58.56269113149847,24.31192660550459,20.89449541284404,26.38888888888889,20.83333333333333,,0.0,6.972477064220183,55.66768603465852,48.71337761700612,-0.018168646567787,0.0,0.8638275149366521,49.55903648537498
top_scorers,4,3568423,Michele Sego,Hajduk Split,Attacker,25.0,2051.0,13.0,5.0,0.5704534373476353,0.2194051682106289,93.20987654320987,60.49382716049382,43.82716049382716,49.54128440366973,64.21338769962622,47.55351681957186,46.60550458715596,26.92660550458715,55.55555555555556,51.5432098765432,,0.0,5.944954128440367,70.1583418280666,56.332793137714695,7.880594561911529,3.9402972809557646,0.0,68.15368498058199
top_scorers,5,37543226,Toni Fruk,Rijeka,Midfielder,25.0,2131.0,12.0,3.0,0.5068043172219615,0.1267010793054903,93.33333333333331,42.05128205128205,41.02564102564103,77.98165137614679,60.7212420606916,84.86238532110092,60.825688073394495,30.458715596330272,74.23076923076923,43.97435897435898,,0.0,6.128440366972477,66.84968242766408,48.80463337786005,11.916608682831551,5.958304341415776,0.8181996345096856,67.49774603661706
top_scorers,6,37553141,Monsef Bakrar,Dinamo Zagreb,Attacker,25.0,1511.0,10.0,4.0,0.5956320317670417,0.2382528127068166,90.12345679012346,56.17283950617284,55.55555555555555,11.0091743119266,61.65647298674821,49.23547400611621,30.091743119266056,32.15596330275229,50.92592592592593,45.83333333333333,,0.0,4.403669724770642,66.06014271151885,63.549995266537,-1.8935222797887832,0.0,0.0,61.65647298674821
top_scorers,7,37596443,Rokas Pukstas,Hajduk Split,Midfielder,21.0,2455.0,9.0,1.0,0.329938900203666,0.0366598778004073,86.15384615384615,18.461538461538463,70.76923076923077,38.07339449541285,56.4227240649259,84.70948012232417,38.71559633027523,63.05045871559633,49.61538461538461,46.53846153846154,,4.0,6.825688073394495,67.24841213832039,56.332793137714695,0.0899309272112063,0.0449654636056031,0.0,56.46768952853151
top_scorers,8,74193,Ivan Mamut,Varaždin,Attacker,29.0,1569.0,9.0,4.0,0.5162523900573613,0.2294455066921606,86.41975308641975,56.17283950617284,31.48148148148148,5.045871559633028,52.72680937818552,34.09785932721713,35.68807339449542,32.5,58.79629629629629,46.2962962962963,,0.0,4.5504587155963305,57.27726809378184,50.45893932816063,2.2678700500248894,1.1339350250124447,0.0,53.86074440319796
top_scorers,9,129013,Marko Livaja,Hajduk Split,Attacker,32.0,1744.0,9.0,6.0,0.4644495412844037,0.3096330275229357,82.71604938271604,56.17283950617284,24.69135802469136,16.513761467889907,50.72545022086305,76.98776758409787,38.53211009174312,19.174311926605508,79.16666666666667,41.51234567901235,,0.0,5.137614678899083,55.863064899762136,56.332793137714695,-5.607342916851643,0.0,0.0,50.72545022086305
top_scorers,10,37528365,Nail Omerovic,Osijek,Attacker,23.0,2694.0,9.0,1.0,0.3006681514476614,0.0334075723830735,56.17283950617284,68.51851851851852,58.02469135802469,51.8348623853211,59.99830105334692,74.31192660550458,57.1559633027523,24.472477064220183,69.44444444444444,70.9104938271605,,0.0,7.449541284403669,67.44784233775059,47.25074880090916,12.747552252437764,6.373776126218882,1.5951419229851318,67.96721910255094
