cluster_id,cluster_name,player_id,player_name,team_name,position,age,minutes,quality_score
1,ball-playing defenders,34398,Roberto Puncec,Šibenik,Defender,34,1772.0,37.49037403740374
1,ball-playing defenders,24837955,Styopa Mkrtchyan,Osijek,Defender,23,1150.0,36.34282178217822
1,ball-playing defenders,24993,Matthew Steenvoorden,Gorica,Defender,33,1126.0,35.966034103410344
1,ball-playing defenders,183400,Lovro Cvek,Šibenik,Midfielder,31,1354.0,34.64534978087973
1,ball-playing defenders,37656551,Jakov Gurlica,Gorica,Defender,22,598.0,31.492711771177124
2,balanced profile,21072870,Jurica Prsir,Gorica,Midfielder,26,1511.0,72.81285505599742
2,balanced profile,37560492,Ivan Cvijanovic,Osijek,Defender,22,888.0,65.38710121012102
2,balanced profile,73145,Šime Gržan,Šibenik,Attacker,32,2116.0,61.47614761476148
2,balanced profile,29992,Ivan Rakitić,Hajduk Split,Midfielder,38,3065.0,60.64072390845642
2,balanced profile,37571660,Simun Mikolcic,Osijek,Midfielder,22,622.0,56.09276091543581
2,balanced profile,74322,Frane Maglica,Varaždin,Defender,29,2827.0,53.94114411441145
2,balanced profile,73932,Fran Karacic,Lokomotiva Zagreb,Defender,30,3030.0,52.98679867986799
2,balanced profile,74533,Josip Majic,Šibenik,Attacker,32,1062.0,48.89108910891089
2,balanced profile,73278,Marko Pajac,Lokomotiva Zagreb,Defender,33,1084.0,48.6564906490649
2,balanced profile,4536487,Tiago Dantas,Osijek,Midfielder,25,1996.0,45.61191365038143
2,balanced profile,37529453,Elvir Durakovic,Šibenik,Defender,26,1315.0,44.67546754675468
2,balanced profile,74197,Antonio Bosec,Slaven Koprivnica,Defender,28,2380.0,39.652090209020905
2,balanced profile,67827,Amer Gojak,Rijeka,Midfielder,29,1088.0,38.4166531407239
2,balanced profile,37530358,Ante Orec,Rijeka,Defender,24,464.0,37.886413641364136
2,balanced profile,37529443,Enes Alic,Varaždin,Defender,26,713.0,35.3960396039604
2,balanced profile,73222,D. Štiglec,Gorica,Defender,35,967.0,34.31930693069307
3,high-volume finishers,22136685,Nathanaël Mbuku,Dinamo Zagreb,Attacker,24,496.0,84.17416741674168
3,high-volume finishers,37563601,Luka Stojkovic,Dinamo Zagreb,Midfielder,22,1542.0,73.00519396201913
3,high-volume finishers,37569839,Lukas Kacavenda,Dinamo Zagreb,Midfielder,23,733.0,71.89823080668721
3,high-volume finishers,73448,Marko Pjaca,Dinamo Zagreb,Attacker,31,2384.0,71.71962196219621
3,high-volume finishers,1486200,Arbër Hoxha,Dinamo Zagreb,Attacker,27,1254.0,69.64716471647164
3,high-volume finishers,7745870,Dimitar Mitrovski,Varaždin,Attacker,27,2111.0,68.96939693969397
3,high-volume finishers,37571435,Ante Suto,Slaven Koprivnica,Attacker,26,518.0,66.28082808280827
3,high-volume finishers,3862681,Marco Pašalić,Rijeka,Attacker,25,1372.0,65.46804680468047
3,high-volume finishers,131838,Bruno Petkovic,Dinamo Zagreb,Attacker,31,865.0,64.95409540954094
3,high-volume finishers,37582788,Vinko Rozic,Istra 1961,Attacker,22,1063.0,64.71737173717372
3,high-volume finishers,73704,Alen Grgic,Slaven Koprivnica,Attacker,31,2478.0,61.9018901890189
3,high-volume finishers,3568423,Michele Sego,Varaždin,Attacker,25,1517.0,61.63816381638164
3,high-volume finishers,37550680,Martin Baturina,Dinamo Zagreb,Midfielder,23,2380.0,60.97224476546014
3,high-volume finishers,527767,Naïs Djouahra,Rijeka,Attacker,26,1823.0,59.69576957695769
3,high-volume finishers,37607123,Juan Córdoba,Dinamo Zagreb,Attacker,22,551.0,59.53645364536454
3,high-volume finishers,338593,Stjepan Loncar,Istra 1961,Midfielder,29,1043.0,58.72747930530758
3,high-volume finishers,109643,Hernâni,Osijek,Attacker,34,1191.0,58.71962196219621
3,high-volume finishers,73858,Marko Rog,Dinamo Zagreb,Midfielder,30,616.0,58.11962343775361
3,high-volume finishers,129013,Marko Livaja,Hajduk Split,Attacker,32,3097.0,56.56885688568857
3,high-volume finishers,198710,Petar Pusic,Osijek,Midfielder,27,1454.0,55.413082291835735
3,high-volume finishers,5270359,Silvio Gorican,Lokomotiva Zagreb,Attacker,26,2700.0,49.31233123312332
3,high-volume finishers,37543226,Toni Fruk,Rijeka,Midfielder,25,2645.0,48.90034085375751
3,high-volume finishers,37613457,Beyatt Lekoueiry,Istra 1961,Midfielder,21,1036.0,42.24151923389059
4,high-volume finishers (variant 2),540173,Sandro Kulenovic,Dinamo Zagreb,Attacker,26,1910.0,60.65436543654366
4,high-volume finishers (variant 2),37604564,Matej Sakota,Slaven Koprivnica,Attacker,21,592.0,54.37083708370836
4,high-volume finishers (variant 2),54693,Robert Mudrazija,Lokomotiva Zagreb,Midfielder,29,2600.0,53.26894984580424
4,high-volume finishers (variant 2),37709571,Lovre Kulusic,Šibenik,Midfielder,19,890.0,52.57588053887356
4,high-volume finishers (variant 2),37719908,Bruno Durdov,Hajduk Split,Attacker,18,979.0,51.63546354635463
4,high-volume finishers (variant 2),37708547,Mirko Susak,Lokomotiva Zagreb,Attacker,22,452.0,51.27272727272728
4,high-volume finishers (variant 2),73913,Ilija Nestorovski,Slaven Koprivnica,Attacker,36,1866.0,50.53240324032403
4,high-volume finishers (variant 2),16817975,Martin Slogar,Gorica,Attacker,25,1054.0,48.51755175517551
4,high-volume finishers (variant 2),73639,Marko Kolar,Gorica,Attacker,31,1489.0,47.18361836183618
4,high-volume finishers (variant 2),72857,Duje Cop,Rijeka,Attacker,36,1608.0,46.646264626462646
4,high-volume finishers (variant 2),1525043,Matej Vuk,Istra 1961,Attacker,26,1010.0,46.25112511251125
4,high-volume finishers (variant 2),102012,Wilfried Kanga,Dinamo Zagreb,Attacker,28,827.0,45.92979297929793
4,high-volume finishers (variant 2),31926,Ivan Santini,Šibenik,Attacker,37,2574.0,45.05580558055805
4,high-volume finishers (variant 2),37538546,Pedro Lima Barros,Osijek,Midfielder,23,834.0,43.66052588865444
