category,rank,player_id,player_name,team_name,position,age,minutes,dribbling_score,passing_score,duel_defending_score,progressive_midfielder_score,passer_defender_score,creative_score,defensive_score,overall_score,successful_dribbles_per90,dribble_success_rate,fouls_drawn_per90,passes_per90,key_passes_per90,pass_accuracy,accurate_long_balls_per90,accurate_crosses_per90,tackles_per90,interceptions_per90,aerials_won_per90,clearances_per90,duel_success_rate
best_dribblers,1,37550680,Martin Baturina,Dinamo Zagreb,Midfielder,23,2380.0,86.63366336633663,82.17821782178218,20.024752475247528,82.37704918032787,48.63387978142077,86.33879781420764,20.21857923497268,60.97224476546014,1.815126050420168,50.526315789473685,2.4201680672268906,47.83613445378151,3.403361344537815,84.82,1.815126050420168,1.4747899159663866,1.134453781512605,0.226890756302521,0.5672268907563025,0.1134453781512605,49.21135646687697
best_dribblers,2,28912771,Adrion Pajaziti,Gorica,Midfielder,23,1569.0,86.13861386138613,71.08910891089108,27.995049504950494,48.97540983606557,48.428961748633874,62.56830601092896,30.054644808743166,58.7355948709625,1.089866156787763,54.285714285714285,2.6959847036328872,43.25047801147228,0.745697896749522,88.86,2.237093690248566,0.5736137667304015,1.032504780114723,0.6883365200764818,0.5162523900573613,0.745697896749522,49.46236559139785
best_dribblers,3,37569839,Lukas Kacavenda,Dinamo Zagreb,Midfielder,23,733.0,85.47854785478548,60.4950495049505,47.00495049504951,70.08196721311475,56.4207650273224,65.02732240437159,64.48087431693989,71.89823080668721,1.3506139154160983,50.0,2.946793997271487,36.46657571623465,1.84174624829468,79.46,0.7366984993178718,0.4911323328785811,2.08731241473397,0.9822646657571624,0.859481582537517,0.4911323328785811,54.3859649122807
best_dribblers,4,37571435,Ante Suto,Slaven Koprivnica,Attacker,26,518.0,84.65346534653465,37.72277227722772,51.48514851485149,58.63636363636364,54.99999999999999,53.93939393939394,69.09090909090908,66.28082808280827,1.5637065637065637,50.0,2.4324324324324325,25.1930501930502,1.2162162162162162,67.59,0.1737451737451737,0.5212355212355212,2.0849420849420848,0.1737451737451737,3.6486486486486487,1.0424710424710424,52.38095238095238
best_dribblers,5,131838,Bruno Petkovic,Dinamo Zagreb,Attacker,31,865.0,82.50825082508251,52.42574257425743,45.123762376237615,82.27272727272727,57.91666666666666,77.27272727272727,36.96969696969697,64.95409540954094,1.0404624277456649,50.0,2.913294797687861,32.25433526011561,2.2890173410404624,69.68,1.3526011560693645,0.3121387283236994,0.8323699421965318,0.1040462427745664,3.84971098265896,2.2890173410404624,48.80952380952381
best_dribblers,6,37543226,Toni Fruk,Rijeka,Midfielder,25,2645.0,82.34323432343236,56.93069306930694,17.400990099009903,78.27868852459017,28.346994535519123,43.71584699453552,13.661202185792348,48.90034085375751,1.32703213610586,46.98795180722892,2.7901701323251418,26.13232514177694,1.9054820415879017,73.7,1.667296786389414,0.7145557655954632,0.8846880907372401,0.44234404536862,0.8846880907372401,0.2041587901701323,43.00254452926209
best_dribblers,7,540670,Iker Pozo,Šibenik,Midfielder,25,1302.0,82.01320132013201,46.63366336633664,72.27722772277227,35.86065573770492,60.86065573770492,40.7103825136612,85.24590163934425,42.70816425904885,1.036866359447005,55.55555555555556,1.7972350230414746,36.70506912442397,0.4147465437788018,80.23,1.3133640552995391,0.1382488479262673,2.695852534562212,1.3824884792626728,1.7972350230414746,2.0046082949308754,58.659217877094974
best_dribblers,8,37332624,Giorgi Gagua,Istra 1961,Attacker,24,1524.0,81.76567656765677,30.7920792079208,41.26237623762376,53.63636363636363,52.87878787878788,41.21212121212121,63.030303030303024,47.18541854185418,0.8267716535433071,51.851851851851855,3.543307086614173,20.66929133858268,1.4763779527559056,68.57,0.4133858267716535,0.0590551181102362,1.2401574803149606,0.3543307086614173,2.1850393700787403,1.0039370078740155,50.39370078740158
best_dribblers,9,7745870,Dimitar Mitrovski,Varaždin,Attacker,27,2111.0,80.6930693069307,67.22772277227723,30.420792079207928,74.54545454545453,85.15151515151516,66.66666666666667,77.57575757575756,68.96939693969397,1.577451444812885,45.1219512195122,2.600663192799621,29.332070108953104,1.7479867361440076,78.05,2.1743249644718143,0.8953102794883941,1.7479867361440076,0.5542396968261487,0.2984367598294647,0.5968735196589294,50.17064846416383
best_dribblers,10,37544959,Moris Valincic,Istra 1961,Defender,23,2619.0,80.03300330033004,64.45544554455446,68.76237623762377,64.93055555555556,69.03935185185185,71.75925925925925,75.92592592592594,68.22469746974699,1.0309278350515465,54.54545454545455,1.7525773195876289,46.63230240549828,0.5154639175257731,84.6,2.405498281786941,0.3092783505154639,1.924398625429553,1.7525773195876289,1.2371134020618555,2.164948453608248,58.44594594594594
best_dribblers,11,24838180,Stipe Biuk,Hajduk Split,Attacker,23,904.0,79.86798679867987,43.26732673267327,26.509900990099013,68.18181818181819,56.36363636363636,53.93939393939394,57.27272727272727,47.81368136813681,2.3893805309734515,54.54545454545455,1.2942477876106195,27.278761061946906,1.2942477876106195,69.34,0.5973451327433629,0.497787610619469,0.995575221238938,0.3982300884955752,1.393805309734513,0.2986725663716814,49.21875
best_dribblers,12,37694071,Niko Sigur,Hajduk Split,Midfielder,22,1612.0,78.87788778877888,48.01980198019802,54.38118811881189,34.01639344262296,58.87978142076504,57.377049180327866,75.95628415300547,63.99691608505113,0.7816377171215881,53.84615384615385,2.177419354838709,36.23449131513648,0.4466501240694789,84.9,1.1166253101736974,0.1116625310173697,2.9590570719602978,0.9491315136476428,0.8374689826302729,1.0607940446650124,56.48148148148148
